net,length_um
apb_master_fsm_block.wfifo_full_return,111.62
_03351_,111.54
_00064_,111.44
_03264_,111.41
net376,111.16
_03532_,110.81
_04438_,110.72
net531,110.72
clknet_leaf_113_s_axi_aclk,110.68
net478,110.56
net25,110.46
axi_slave_fsm_block.axi_wdata_reg\[8\],110.38
_04881_,110.34
apb_master_fsm_block.m_apb_read_response\[17\],110.26
net586,110
net477,109.9
_03136_,109.88
net525,109.38
_02753_,109.24
net518,109.12
apb_master_fsm_block.m_apb_read_response\[9\],109.04
net459,108.78
clknet_leaf_66_s_axi_aclk,108.7
clknet_leaf_42_s_axi_aclk,108.62
_03485_,108.535
_03352_,108.42
_02573_,108.38
_03260_,107.97
_03400_,107.69
net599,107.52
clknet_leaf_156_s_axi_aclk,107.48
net394,107.44
clknet_leaf_88_s_axi_aclk,107.41
net479,107.26
_03307_,107.25
net538,107.14
net171,107.1
net566,107.04
_03204_,107.02
clknet_leaf_163_s_axi_aclk,106.98
_03623_,106.83
_03621_,106.77
net600,106.72
_03308_,106.71
clknet_leaf_82_s_axi_aclk,106.7
_04683_,106.46
net552,106.06
clknet_leaf_77_s_axi_aclk,106.04
clknet_leaf_141_s_axi_aclk,106.04
net86,105.98
net534,105.9
_03134_,105.84
net562,105.83
net580,105.74
net406,105.68
_03624_,105.6
axi_slave_fsm_block.sw_wfifo_wdata\[31\],105.595
_04861_,105.5
_04547_,105.415
net524,105.28
_03487_,105.26
_03258_,105.24
net470,105.19
_03306_,105.18
_03625_,105.16
net582,105.14
net569,104.95
apb_master_fsm_block.m_apb_read_response\[34\],104.63
clknet_leaf_22_s_axi_aclk,104.535
async_fifo_Reading.wptr\[3\],104.47
net583,104.3
apb_master_fsm_block.m_apb_read_response\[6\],104.155
net512,104.07
axi_slave_fsm_block.sw_wfifo_wdata\[53\],104
_02739_,103.96
net497,103.74
_02956_,103.64
axi_slave_fsm_block.axi_wdata_reg\[9\],103.44
